"ålder"	"kön"	"2016"
"0 år"	"män"	157
"0 år"	"kvinnor"	135
"1 år"	"män"	13
"1 år"	"kvinnor"	10
"2 år"	"män"	7
"2 år"	"kvinnor"	6
"3 år"	"män"	4
"3 år"	"kvinnor"	6
"4 år"	"män"	7
"4 år"	"kvinnor"	7
"5 år"	"män"	10
"5 år"	"kvinnor"	4
"6 år"	"män"	8
"6 år"	"kvinnor"	8
"7 år"	"män"	3
"7 år"	"kvinnor"	4
"8 år"	"män"	4
"8 år"	"kvinnor"	3
"9 år"	"män"	2
"9 år"	"kvinnor"	3
"10 år"	"män"	2
"10 år"	"kvinnor"	3
"11 år"	"män"	2
"11 år"	"kvinnor"	3
"12 år"	"män"	1
"12 år"	"kvinnor"	8
"13 år"	"män"	9
"13 år"	"kvinnor"	6
"14 år"	"män"	4
"14 år"	"kvinnor"	7
"15 år"	"män"	9
"15 år"	"kvinnor"	2
"16 år"	"män"	11
"16 år"	"kvinnor"	5
"17 år"	"män"	8
"17 år"	"kvinnor"	6
"18 år"	"män"	23
"18 år"	"kvinnor"	11
"19 år"	"män"	23
"19 år"	"kvinnor"	6
"20 år"	"män"	28
"20 år"	"kvinnor"	10
"21 år"	"män"	32
"21 år"	"kvinnor"	11
"22 år"	"män"	39
"22 år"	"kvinnor"	10
"23 år"	"män"	36
"23 år"	"kvinnor"	23
"24 år"	"män"	37
"24 år"	"kvinnor"	22
"25 år"	"män"	64
"25 år"	"kvinnor"	20
"26 år"	"män"	50
"26 år"	"kvinnor"	20
"27 år"	"män"	54
"27 år"	"kvinnor"	13
"28 år"	"män"	44
"28 år"	"kvinnor"	15
"29 år"	"män"	45
"29 år"	"kvinnor"	21
"30 år"	"män"	47
"30 år"	"kvinnor"	28
"31 år"	"män"	57
"31 år"	"kvinnor"	14
"32 år"	"män"	54
"32 år"	"kvinnor"	24
"33 år"	"män"	53
"33 år"	"kvinnor"	20
"34 år"	"män"	47
"34 år"	"kvinnor"	21
"35 år"	"män"	53
"35 år"	"kvinnor"	30
"36 år"	"män"	54
"36 år"	"kvinnor"	22
"37 år"	"män"	41
"37 år"	"kvinnor"	20
"38 år"	"män"	59
"38 år"	"kvinnor"	21
"39 år"	"män"	64
"39 år"	"kvinnor"	33
"40 år"	"män"	51
"40 år"	"kvinnor"	47
"41 år"	"män"	72
"41 år"	"kvinnor"	34
"42 år"	"män"	85
"42 år"	"kvinnor"	38
"43 år"	"män"	77
"43 år"	"kvinnor"	49
"44 år"	"män"	80
"44 år"	"kvinnor"	45
"45 år"	"män"	86
"45 år"	"kvinnor"	54
"46 år"	"män"	98
"46 år"	"kvinnor"	73
"47 år"	"män"	103
"47 år"	"kvinnor"	58
"48 år"	"män"	125
"48 år"	"kvinnor"	92
"49 år"	"män"	165
"49 år"	"kvinnor"	92
"50 år"	"män"	153
"50 år"	"kvinnor"	111
"51 år"	"män"	174
"51 år"	"kvinnor"	110
"52 år"	"män"	162
"52 år"	"kvinnor"	118
"53 år"	"män"	182
"53 år"	"kvinnor"	121
"54 år"	"män"	229
"54 år"	"kvinnor"	110
"55 år"	"män"	226
"55 år"	"kvinnor"	162
"56 år"	"män"	253
"56 år"	"kvinnor"	169
"57 år"	"män"	245
"57 år"	"kvinnor"	157
"58 år"	"män"	283
"58 år"	"kvinnor"	187
"59 år"	"män"	314
"59 år"	"kvinnor"	230
"60 år"	"män"	368
"60 år"	"kvinnor"	254
"61 år"	"män"	428
"61 år"	"kvinnor"	261
"62 år"	"män"	468
"62 år"	"kvinnor"	304
"63 år"	"män"	460
"63 år"	"kvinnor"	328
"64 år"	"män"	534
"64 år"	"kvinnor"	339
"65 år"	"män"	568
"65 år"	"kvinnor"	390
"66 år"	"män"	691
"66 år"	"kvinnor"	465
"67 år"	"män"	770
"67 år"	"kvinnor"	495
"68 år"	"män"	803
"68 år"	"kvinnor"	566
"69 år"	"män"	912
"69 år"	"kvinnor"	574
"70 år"	"män"	986
"70 år"	"kvinnor"	665
"71 år"	"män"	1085
"71 år"	"kvinnor"	768
"72 år"	"män"	1101
"72 år"	"kvinnor"	849
"73 år"	"män"	1191
"73 år"	"kvinnor"	832
"74 år"	"män"	1047
"74 år"	"kvinnor"	753
"75 år"	"män"	1054
"75 år"	"kvinnor"	737
"76 år"	"män"	1207
"76 år"	"kvinnor"	877
"77 år"	"män"	1212
"77 år"	"kvinnor"	917
"78 år"	"män"	1302
"78 år"	"kvinnor"	985
"79 år"	"män"	1288
"79 år"	"kvinnor"	1092
"80 år"	"män"	1386
"80 år"	"kvinnor"	1164
"81 år"	"män"	1404
"81 år"	"kvinnor"	1195
"82 år"	"män"	1397
"82 år"	"kvinnor"	1328
"83 år"	"män"	1442
"83 år"	"kvinnor"	1451
"84 år"	"män"	1605
"84 år"	"kvinnor"	1578
"85 år"	"män"	1635
"85 år"	"kvinnor"	1817
"86 år"	"män"	1618
"86 år"	"kvinnor"	1873
"87 år"	"män"	1617
"87 år"	"kvinnor"	1952
"88 år"	"män"	1468
"88 år"	"kvinnor"	1937
"89 år"	"män"	1416
"89 år"	"kvinnor"	2148
"90 år"	"män"	1391
"90 år"	"kvinnor"	2175
"91 år"	"män"	1297
"91 år"	"kvinnor"	2192
"92 år"	"män"	1128
"92 år"	"kvinnor"	1878
"93 år"	"män"	950
"93 år"	"kvinnor"	1786
"94 år"	"män"	789
"94 år"	"kvinnor"	1674
"95 år"	"män"	669
"95 år"	"kvinnor"	1483
"96 år"	"män"	537
"96 år"	"kvinnor"	1197
"97 år"	"män"	302
"97 år"	"kvinnor"	791
"98 år"	"män"	164
"98 år"	"kvinnor"	577
"99 år"	"män"	118
"99 år"	"kvinnor"	420
"100+ år"	"män"	185
"100+ år"	"kvinnor"	796
